0000, eb5e
13f8, 312c
13f9, f805
13fa, 4ce5
13fb, 46e8
13fc, 3462
13fd, f758
13fe, 4fb8
13ff, 3515
1400, b4d6
1401, 673e
1402, c401
1403, 681a
1404, 1a97
1405, 7d5d
1406, d62b
1407, 1967
1408, 698d
1409, 8f6b
140a, 8d2b
140b, 0b9a
140c, d121
140d, 841b
140e, d5ce
140f, 1de6
1410, 2bd5
1411, 73b0
1412, fd7f
1413, ced6
1414, 968f
1415, 46b8
1416, 08c7
1417, 2ac9
1418, c38e
1419, 4b64
141a, 7e71
141b, 2acc
141c, c500
141d, 781e
141e, 056b
141f, 9db8
1420, 2804
1421, 306c
1422, 6f7a
1423, cfd6
1424, 457f
1425, b51d
1426, cecb
1427, 9e7c
1428, c38b
1429, 88cd
142a, 3e04
142b, 89ca
142c, 0966
142d, a5b8
142e, afbf
142f, 43d8
1430, cbaf
1431, fe72
1432, aba0
1433, d917
1434, 1550
1435, 577c
1436, dd78
1437, ce36
1438, d618
1439, a2cc
143a, fb58
143b, 5a90
143c, df77
143d, f6e4
143e, f519
143f, 169c
1440, 8258
1441, fee6
1442, 9273
1443, 08ba
1444, fd71
1445, bec8
1446, d74e
1447, 013c
1448, 098d
1449, 2d02
144a, f3fe
144b, dfcf
144c, db40
144d, 90d2
144e, 34b5
144f, 4b6d
1450, 2702
1451, 7b47
1452, 3250
1453, c9b7
1454, 256b
1455, cecf
1456, c5e4
1457, 575b
1458, 6cb8
1459, f20c
145a, 7ee8
145b, fe66
145c, c64e
145d, b1b8
145e, 7fb7
145f, 75c2
1460, 26c2
1461, 787a
1462, fb36
1463, c51e
1464, 9a20
1465, 467c
1466, cb08
1467, 263b
1468, c6d4
1469, fbcf
146a, 7d05
146b, 4650
146c, ce77
146d, 7bd8
146e, 7e17
146f, 9a8c
1470, ff6c
1471, a32d
1472, 0b6f
1473, d5de
1474, 0d06
1475, 61a1
1476, c0e4
1477, 3135
1478, 0c19
1479, 04c6
147a, d7be
147b, 68a3
147c, ca4d
147d, 3a42
147e, 3018
147f, 9891
1480, 1b34
1481, f505
1482, a1cf
1483, de10
1484, 7aac
1485, 5a88
1486, d47e
1487, cd9f
1488, d01e
1489, 5bc8
148a, 98c2
148b, 5c7f
148c, d370
148d, f389
148e, fed3
148f, 1628
1490, 987f
1491, 3868
1492, 6dc3
1493, c31d
1494, 4a35
1495, b9c1
1496, 0264
1497, 9d53
1498, c7d4
1499, 6fc1
149a, 3132
149b, b6c3
149c, 0ecd
149d, a729
149e, a3b4
149f, 43cc
14a0, c25c
14a1, f54e
14a2, 9d5a
14a3, 008b
14a4, fe33
14a5, d4cc
14a6, d548
14a7, 6450
14a8, 0ab2
14a9, 9175
14aa, c6dd
14ab, aec0
14ac, dc47
14ad, 3c28
14ae, f9b2
14af, fbc1
14b0, 796e
14b1, 8ded
14b2, 6165
14b3, 601b
14b4, 1334
14b5, 0d91
14b6, d029
14b7, bc64
14b8, 6a12
14b9, cf6a
14ba, 8fe9
14bb, 0853
14bc, da2d
14bd, bb19
14be, b41d
14bf, 1aae
14c0, 13ce
14c1, be66
14c2, 0d03
14c3, d3bd
14c4, 06d3
14c5, 13ca
14c6, 6162
14c7, 1a64
14c8, d7b9
14c9, 0871
14ca, b26f
14cb, 1a65
14cc, 686b
14cd, 81d9
14ce, 88dd
14cf, 0511
14d0, ef68
14d1, af21
14d2, c4c0
14d3, 0411
14d4, 9e9a
14d5, 8dad
14d6, cafb
14d7, f40f
14d8, 65d7
14d9, 7e6e
14da, a52b
14db, 619a
14dc, c1e6
14dd, 3984
14de, 381c
14df, 285d
14e0, 51b5
14e1, 063b
14e2, 916c
14e3, 64b0
14e4, 73c9
14e5, 1e64
14e6, cafe
14e7, 2c09
14e8, 00d7
14e9, e208
14ea, 7d4e
14eb, c87f
14ec, cbe6
14ed, 74be
14ee, d00b
14ef, 7ed5
14f0, 18d6
14f1, b9d1
14f2, 0e7a
14f3, dfb1
14f4, c51a
14f5, 13db
14f6, 6e0d
14f7, 1377
14f8, d5bb
14f9, 780d
14fa, 8e60
14fb, 1571
14fc, 606a
14fd, 88bb
14fe, 606e
14ff, 0edd
1500, 881f
1501, 561c
1502, d475
1503, 6e1f
1504, 3785
1505, 5a89
1506, 3174
1507, 8078
1508, 6084
1509, b879
150a, 51c3
150b, 5c75
150c, 36cf
150d, bf14
150e, d5c2
150f, 3d19
1510, d757
1511, b9d3
1512, daeb
1513, c8d5
1514, b296
1515, 669a
1516, c409
1517, bb2d
1518, c589
1519, 622a
151a, 146c
151b, d1ab
151c, 6065
151d, 1e12
151e, 0564
151f, bafa
1520, e167
1521, 367a
1522, cec5
1523, 0fb5
1524, ec76
1525, 7919
1526, de09
1527, 3b06
1528, 0584
1529, 7464
152a, a1cb
152b, 856c
152c, 007c
152d, aadb
152e, 32ba
152f, ea17
1530, 352b
1531, f167
1532, 0028
1533, d919
1534, 6b77
1535, dd57
1536, 9e6e
1537, 6cb7
1538, a51d
1539, 0afb
153a, 3f38
153b, 0f92
153c, 04c4
153d, f3e8
153e, fa17
153f, 349b
1540, 3e41
1541, d753
1542, daee
1543, c8df
1544, 3f74
1545, 09ca
1546, f178
1547, 30fd
1548, c088
1549, 024a
154a, 0252
154b, d86e
154c, fa6f
154d, 9cb7
154e, a1b6
154f, 35cf
1550, b24b
1551, 416f
1552, 6549
1553, 00b9
1554, bbcc
1555, 64cd
1556, a15d
1557, be42
1558, a0bd
1559, 6c4d
155a, e136
155b, 6bc9
155c, 9109
155d, efdd
155e, 1fd9
155f, b4c0
1560, bd2b
1561, 746f
1562, 6922
1563, c312
1564, b89c
1565, 629b
1566, 3f6b
1567, bf22
1568, f3db
1569, 662b
156a, 5466
156b, 6e92
156c, cf62
156d, 2edd
156e, 7e19
156f, b190
1570, a176
1571, 62a4
1572, ffc1
1573, d5d2
1574, b391
1575, ea6f
1576, 92a7
1577, a89f
1578, 9917
1579, 686f
157a, 6eae
157b, 47a1
157c, ab62
157d, 3549
157e, 3c1d
157f, b793
1580, 342a
1581, 3760
1582, 06fd
1583, de13
1584, afab
1585, 079a
1586, c4c8
1587, a3eb
1588, 6912
1589, 0120
158a, f20e
158b, db5e
158c, 056f
158d, f68e
158e, fdd0
158f, 359a
1590, 3d60
1591, 327b
1592, 9466
1593, 0388
1594, e3ac
1595, b56f
1596, 9f77
1597, 3f3c
1598, 90bb
1599, 0ec3
159a, 3e92
159b, 29c1
159c, d802
159d, 3922
159e, 36bb
159f, e7c0
15a0, 394d
15a1, 0159
15a2, 0942
15a3, c014
15a4, 3ba9
15a5, de67
15a6, fd3e
15a7, 661e
15a8, f3de
15a9, d6e7
15aa, df5d
15ab, 02c2
15ac, f1c4
15ad, a024
15ae, 97be
15af, 34c4
15b0, 80c4
15b1, 52c5
15b2, a871
15b3, 6914
15b4, 3a41
15b5, 5773
15b6, 3bae
15b7, e3ce
15b8, 351e
15b9, df73
15ba, 5baa
15bb, 5a91
15bc, 32c4
15bd, 5e17
15be, b418
15bf, 3713
15c0, b564
15c1, bf75
15c2, 3f6a
15c3, 65b8
15c4, a511
15c5, 80c5
15c6, 3e77
15c7, 596e
15c8, 39b7
15c9, 6865
15ca, 587a
15cb, e3ca
15cc, 6478
15cd, 5fb7
15ce, b8b8
15cf, d913
15d0, 5d7e
15d1, 66af
15d2, 680c
15d3, 041c
15d4, bc95
15d5, 4719
15d6, ad69
15d7, a270
15d8, d3d9
15d9, 1fc9
15da, 6194
15db, ea0c
15dc, 9ccc
15dd, 378d
15de, 3b11
15df, baf9
15e0, d6a7
15e1, e7d3
15e2, 67fd
15e3, dfb3
15e4, bfc6
15e5, 65c1
15e6, 9202
15e7, b14d
15e8, 09b2
15e9, 6b41
15ea, 410c
15eb, 6f7d
15ec, a703
15ed, 1fb2
15ee, 6064
15ef, b51a
15f0, b4df
15f1, b38c
15f2, 6e03
15f3, 64bc
15f4, 6915
15f5, 8312
15f6, dfc8
15f7, 8568
15f8, d3d8
15f9, 8f62
15fa, b473
15fb, 8973
15fc, 657c
15fd, beb4
15fe, d002
15ff, de19
1600, 48e1
1601, 401f
1602, ff5a
1603, 3841
1604, f085
1605, e0d4
1606, 3f78
1607, 409b
1608, 30fb
1609, ef3d
160a, e80c
160b, 400c
160c, 33cf
160d, e827
160e, f0ae
160f, f8d9
1610, 5d80
1611, 232a
1612, 9b71
1613, 9820
1614, 9c86
1615, 57bb
1616, 945e
1617, 5c7e
1618, 95fe
1619, 2d0b
161a, 2496
161b, 2c01
161c, a050
161d, 54fe
161e, a39b
161f, 9db7
1620, 8d40
1621, 174a
1622, 3491
1623, ffe0
1624, ccf6
1625, 43e7
1626, 3e5e
1627, 8c9e
1628, f5fd
1629, e8ab
162a, 8b51
162b, 4996
162c, f0aa
162d, 1bfd
162e, c73b
162f, cde7
1630, 8972
1631, 1290
1632, 3e95
1633, 39f7
1634, f5ba
1635, 4c70
1636, cb07
1637, e57b
1638, 668b
1639, 327a
163a, 1e5c
163b, 455c
163c, f49b
163d, 8ef8
163e, 82f7
163f, c985
1640, 1edf
1641, 15d1
1642, f176
1643, fee1
1644, f783
1645, 16e9
1646, ff74
1647, 1074
1648, f0fd
1649, 4b6e
164a, 1f76
164b, 1793
164c, f56f
164d, 11fd
164e, c63e
164f, fbd9
1650, 2ccb
1651, 24c5
1652, a435
1653, 99e7
1654, 05ea
1655, 7c3c
1656, a238
1657, 2532
1658, dcdb
1659, 926a
165a, 2b3c
165b, b930
165c, 9462
165d, 7bd7
165e, 244b
165f, 0c45
1660, 5777
1661, 2f90
1662, 9855
1663, 93f7
1664, 932c
1665, 270a
1666, d10b
1667, 5398
1668, 0abb
1669, 9d7a
166a, 7d0a
166b, 5055
166c, 9f57
166d, bd8b
166e, 5ff7
166f, 9780
1670, 779d
1671, b801
1672, 0d01
1673, a32e
1674, 0abf
1675, 2073
1676, 9199
1677, 7359
1678, 078e
1679, 9f96
167a, 717f
167b, 2a5f
167c, a809
167d, 7ff9
167e, bd2e
167f, 0086
1680, 8e85
1681, 162a
1682, a1ca
1683, 3ef0
1684, 0015
1685, 46b7
1686, 9fab
1687, b0c2
1688, a047
1689, eb7b
168a, 71a0
168b, 27c0
168c, f55a
168d, b147
168e, 669b
168f, ceb2
1690, 87a7
1691, 8d3a
1692, 6dc0
1693, f34b
1694, c3ec
1695, 40a0
1696, c1c7
1697, 83a8
1698, c7db
1699, 3faa
169a, 1fac
169b, 1a6a
169c, 3837
169d, 1fe8
169e, 1d4b
169f, c740
16a0, 19c4
16a1, 14c6
16a2, fe3f
16a3, f94d
16a4, f6e1
16a5, 1ca3
16a6, fb39
16a7, 456e
16a8, c6de
16a9, f2c6
16aa, 1b6f
16ab, 1531
16ac, f4c4
16ad, 1ee9
16ae, 124d
16af, fc13
16b0, 40ad
16b1, e86f
16b2, 6166
16b3, 304d
16b4, faef
16b5, 406f
16b6, 3da9
16b7, 1a6e
16b8, 6a1e
16b9, ff31
16ba, 41af
16bb, e733
16bc, 3fc4
16bd, 111e
16be, e8ee
16bf, f013
16c0, 59ae
16c1, 5e31
16c2, 0b66
16c3, a5ed
16c4, 06d1
16c5, 2931
16c6, dbce
16c7, b6cd
16c8, dcde
16c9, 9ea1
16ca, 72c1
16cb, bc66
16cc, a4ad
16cd, 72dd
16ce, 2e4d
16cf, 9946
16d0, 7d21
16d1, 7081
16d2, 9490
16d3, 9ff1
16d4, 0980
16d5, 23b9
16d6, ae02
16d7, 7c9b
16d8, a527
16d9, 285e
16da, be0a
16db, 2975
16dc, 907f
16dd, bb27
16de, 079e
16df, 08be
16e0, 2bda
16e1, 25dc
16e2, 9161
16e3, a4e0
16e4, 0743
16e5, bce8
16e6, 9f69
16e7, 27cd
16e8, 90ee
16e9, 526b
16ea, 2fc3
16eb, 773f
16ec, a965
16ed, 2f4d
16ee, 9537
16ef, 0be2
16f0, 5e46
16f1, 2941
16f2, feaa
16f3, a4e1
16f4, f940
16f5, 59ed
16f6, 34ab
16f7, e9a7
16f8, 35eb
16f9, 2e3d
16fa, ee3a
16fb, 493a
16fc, a5a1
16fd, 4e4b
16fe, 993d
16ff, 9eee
1700, 4777
1701, 71af
1702, e892
1703, aa1e
1704, cff7
1705, 8a9c
1706, d3a1
1707, 4ffc
1708, a84f
1709, 3d7a
170a, 7041
170b, 83f7
170c, dda9
170d, 90a9
170e, 211e
170f, c7fc
1710, 242d
1711, 4b6a
1712, d2b1
1713, f6db
1714, 7c81
1715, ae9e
1716, 3935
1717, 0c0d
1718, fee5
1719, a92e
171a, 45ec
171b, d671
171c, 326b
171d, 35a8
171e, eb1b
171f, 2491
1720, 1904
1721, 7fcc
1722, 4454
1723, 97db
1724, f48e
1725, 4c71
1726, 90ac
1727, 44b6
1728, 9fe5
1729, f206
172a, 201a
172b, 49f9
172c, 91c7
172d, 906b
172e, 7fd8
172f, c98f
1730, 7848
1731, 4476
1732, cb80
1733, 39f9
1734, 852c
1735, dd67
1736, f0a5
1737, c598
1738, 3f4c
1739, 0a1b
173a, 4010
173b, 660a
173c, f494
173d, 30c7
173e, e48e
173f, b83c
1740, 11fe
1741, 2b0c
1742, c181
1743, 96b7
1744, 178f
1745, ff79
1746, 055a
1747, c099
1748, 9e2c
1749, f0fe
174a, 262a
174b, f79f
174c, 0b52
174d, 9507
174e, 7eb2
174f, 1f71
1750, bdde
1751, 1f90
1752, d210
1753, f022
1754, 56ec
1755, a1a4
1756, c031
1757, d667
1758, ffef
1759, d71d
175a, 1046
175b, aca5
175c, cf57
175d, f0a4
175e, 4ff8
175f, 5d3f
1760, 7b8d
1761, 44a5
1762, ddb0
1763, f542
1764, baba
1765, d27d
1766, 993f
1767, 0a7b
1768, 9e4f
1769, d6bd
176a, 2943
176b, d770
176c, f432
176d, a9a9
176e, e442
176f, bb01
1770, 5507
1771, ed51
1772, 5859
1773, 3329
1774, ad2e
1775, b55a
1776, 6531
1777, 58b1
1778, 3eef
1779, ae5c
177a, e6e1
177b, b32e
177c, 685e
177d, 356e
177e, e8be
177f, a62a
1780, 71eb
1781, 1e0f
1782, 01d0
1783, 368d
1784, 704c
1785, 9fa7
1786, f55f
1787, 0038
1788, 3ef3
1789, 90eb
178a, 45b1
178b, 07ca
178c, fb0e
178d, 357d
178e, 8e84
178f, 71aa
1790, 457d
1791, 586a
1792, 48a8
1793, 9348
1794, 38d7
1795, e55f
1796, 355c
1797, 4810
1798, fef5
1799, fe93
179a, e5ba
179b, e3e2
179c, a832
179d, f57b
179e, 281b
179f, 35b1
17a0, 8829
17a1, 2290
17a2, 6bd1
17a3, 99f8
17a4, 86df
17a5, 3d59
17a6, 0096
17a7, 6539
17a8, 9ff3
17a9, 6abe
17aa, 27f6
17ab, 363f
17ac, 049b
17ad, 907d
17ae, 248b
17af, 8d0f
17b0, e352
17b1, b831
17b2, efa4
17b3, a044
17b4, 68ee
17b5, 8090
17b6, d9a0
17b7, e8ef
17b8, a445
17b9, 3f95
17ba, b5ea
17bb, 804d
17bc, dfad
17bd, a532
17be, 58e9
17bf, 632a
17c0, 45a8
17c1, 5e5f
17c2, 5e34
17c3, a524
17c4, aee9
17c5, e9a5
17c6, a095
17c7, 2e43
17c8, a825
17c9, 3e35
17ca, 532c
17cb, 5944
17cc, a494
17cd, 9398
17ce, 2ef4
17cf, 35ec
17d0, 7972
17d1, 417f
17d2, 2492
17d3, f78e
17d4, 92f7
17d5, 7c9c
17d6, c091
17d7, 248a
17d8, ffff
17d9, 927a
17da, 47f1
17db, 79f7
17dc, c199
17dd, f07e
17de, 1f89
17df, 9c8c
17e0, 2f4e
17e1, 1d5c
17e2, dd11
17e3, 37bb
17e4, 274f
17e5, a8c9
17e6, 6050
17e7, 07ce
17e8, 3f25
17e9, a34e
17ea, 132a
17eb, aaaf
17ec, 6158
17ed, f352
17ee, 4db7
17ef, 2fcf
17f0, 4c6b
17f1, 2271
17f2, e432
17f3, acbe
17f4, f442
17f5, e6ca
17f6, a59f
17f7, 44e5
17f8, a42f
17f9, 326a
17fa, 29ff
17fb, e542
17fc, ab7e
17fd, 9954
17fe, 22bd
17ff, fc1a
1800, 875b
1801, 887a
1802, b458
1803, d6f7
1804, 61b8
1805, b900
1806, d67c
1807, 8f25
1808, defc
1809, d250
180a, 8a8c
180b, bcb8
180c, de77
180d, 6392
180e, 8df7
180f, 60b0
1810, 7504
1811, b256
1812, 286b
1813, 0aeb
1814, a4bd
1815, b065
1816, d035
1817, 2eb6
1818, 08e5
1819, 0865
181a, b923
181b, 50db
181c, d13b
181d, 0554
181e, 7b2d
181f, d9b3
1820, fe56
1821, 3e9e
1822, 8ea8
1823, cceb
1824, 8cbd
1825, 163a
1826, c9ac
1827, 1b0d
1828, c4e5
1829, 6ba0
182a, 6671
182b, 15e2
182c, c2a7
182d, 62b1
182e, 392e
182f, e956
1830, 98ac
1831, 0167
1832, 5f77
1833, d9f9
1834, 4922
1835, 2976
1836, 0095
1837, 4e92
1838, dffc
1839, a471
183a, cc0a
183b, 208b
183c, 0494
183d, cb8a
183e, 0a17
183f, 203c
1840, 3106
1841, 3f04
1842, 286e
1843, 0aee
1844, 802d
1845, 2a6f
1846, 0a6f
1847, ef54
1848, 08ef
1849, 086f
184a, 3753
184b, 2aee
184c, 086e
184d, 61b6
184e, 302d
184f, 8753
1850, 206e
1851, 716f
1852, 446e
1853, c029
1854, 92e7
1855, 4751
1856, cc6f
1857, 24da
1858, c4ef
1859, ff01
185a, 7cdc
185b, 4cee
185c, c109
185d, 0932
185e, 7fe9
185f, 97e1
1860, 257e
1861, 745f
1862, 4e77
1863, 0342
1864, 9fb7
1865, 206a
1866, c95c
1867, 288a
1868, cefc
1869, 98ca
186a, 702c
186b, 49b7
186c, 0f32
186d, 0392
186e, 7ef9
186f, 99b1
1870, 020a
1871, a298
1872, 1fa4
1873, 6322
1874, 2729
1875, 1775
1876, 6a6f
1877, 710e
1878, 68ef
1879, cf95
187a, a793
187b, 1714
187c, 6d02
187d, d186
187e, dc8b
187f, 2c5c
1880, 9d60
1881, af3b
1882, 5e7d
1883, d6fd
1884, 50e8
1885, 750f
1886, 055f
1887, 2838
1888, def3
1889, de73
188a, d760
188b, 25be
188c, 0b5e
188d, 0dd0
188e, 93eb
188f, 5760
1890, cb71
1891, 627d
1892, b4a9
1893, c548
1894, 17d7
1895, 19a5
1896, d53f
1897, 1dc7
1898, 0e43
1899, 64ac
189a, 67c0
189b, 7944
189c, 6e32
189d, 6dd0
189e, 66bd
189f, 1c01
18a0, ff5f
18a1, f159
18a2, 24cb
18a3, 0044
18a4, 19ee
18a5, 27a6
18a6, 0cc5
18a7, 4439
18a8, 0445
18a9, 9fc6
18aa, fc3f
18ab, 2c4b
18ac, 01c4
18ad, c2d1
18ae, c7be
18af, 1051
18b0, 1052
18b1, 8175
18b2, 7f59
18b3, d9f8
18b4, c1d9
18b5, 7c0c
18b6, d773
18b7, 1fef
18b8, dff3
18b9, 045c
18ba, 8713
18bb, 77b9
18bc, d278
18bd, 60a4
18be, 8ff8
18bf, c7bc
18c0, 15a2
18c1, 84a5
18c2, 18a2
18c3, 6524
18c4, 04e9
18c5, 195f
18c6, 60a5
18c7, 7e4f
18c8, 68e5
18c9, ce9f
18ca, b943
18cb, 10e2
18cc, 6494
18cd, d534
18ce, 8ee8
18cf, c9ec
18d0, a450
18d1, ae72
18d2, 1852
18d3, c7f7
18d4, 5c28
18d5, 130a
18d6, c77c
18d7, b20b
18d8, cffc
18d9, cd5a
18da, a69c
18db, 1ab2
18dc, cf77
18dd, db8a
18de, a5f7
18df, 5905
18e0, b064
18e1, bf66
18e2, ef0d
18e3, 672d
18e4, a1ed
18e5, e703
18e6, 6703
18e7, 5fd6
18e8, 6f23
18e9, 6f03
18ea, b7d3
18eb, e72d
18ec, 6f0d
18ed, d034
18ee, b1ed
18ef, a7d3
18f0, 163b
18f1, 8baa
18f2, 1e54
18f3, 6c2e
18f4, 64e8
18f5, 8c56
18f6, 659f
18f7, 1ee5
18f8, 642f
18f9, cb56
18fa, 854c
18fb, 8924
18fc, 6b9e
18fd, 6932
18fe, 82e7
18ff, 6ce0
1900, 2edf
1901, f03d
1902, f46c
1903, ae1f
1904, e097
1905, 483d
1906, 332b
1907, 49c8
1908, 3918
1909, 5464
190a, 48fb
190b, f89a
190c, 3fe1
190d, eed2
190e, 99c9
190f, e846
1910, bb45
1911, 5385
1912, 0daf
1913, 9ed5
1914, dcff
1915, 7a28
1916, 9e79
1917, b7a9
1918, 9319
1919, 7b38
191a, 547f
191b, 769f
191c, 9305
191d, 5f19
191e, a5c8
191f, ddf8
1920, b886
1921, 10d0
1922, a47c
1923, 9fb3
1924, 6981
1925, e318
1926, fe74
1927, b977
1928, 9588
1929, 5874
192a, 1e76
192b, e97f
192c, f065
192d, 7e8b
192e, 000d
192f, 681b
1930, ecc9
1931, 847a
1932, 6ea6
1933, 3919
1934, 36f0
1935, 8c9c
1936, 3b98
1937, e6ad
1938, 3644
1939, 62af
193a, 8b75
193b, 8590
193c, 3472
193d, 8b14
193e, 841e
193f, 3c8c
1940, 4bbc
1941, 66ad
1942, 01a5
1943, febc
1944, 8079
1945, ebcd
1946, 30fe
1947, 27c8
1948, 9018
1949, 1b52
194a, 81fe
194b, 3171
194c, 3e46
194d, 7f1b
194e, c507
194f, 8e13
1950, 7798
1951, 5447
1952, df50
1953, 90b2
1954, 55a8
1955, 9bca
1956, 06db
1957, 7357
1958, a728
1959, 015c
195a, bb1b
195b, 9e35
195c, 9547
195d, 2d22
195e, 2f88
195f, 5cc7
1960, bca2
1961, 5f7c
1962, 0e30
1963, 9512
1964, d3f0
1965, 7a9c
1966, 9d58
1967, b5ab
1968, 96e8
1969, 0bac
196a, 5d95
196b, 7350
196c, 9872
196d, 5b48
196e, 5412
196f, d7fc
1970, 10cb
1971, 7dfd
1972, fd3c
1973, 33d2
1974, b394
1975, af91
1976, 07bd
1977, 1a62
1978, f742
1979, ffc5
197a, 7f24
197b, dd76
197c, 93fd
197d, 1112
197e, 88d7
197f, b79e
1980, eb13
1981, 8580
1982, 619f
1983, 3e13
1984, a71c
1985, 86f8
1986, afc2
1987, e779
1988, 3089
1989, 8ba4
198a, bfca
198b, b7ac
198c, 3575
198d, 8f8e
198e, 65cd
198f, 3b88
1990, b07e
1991, 18c0
1992, ad93
1993, 9384
1994, 6a15
1995, e0cc
1996, f138
1997, ba74
1998, 9724
1999, af7f
199a, 1165
199b, eaa5
199c, f8c8
199d, 71b4
199e, 788d
199f, 601a
19a0, 4c78
19a1, 824e
19a2, ce5a
19a3, f988
19a4, e5cd
19a5, 32c1
19a6, 661d
19a7, 4657
19a8, f622
19a9, c295
19aa, 8e44
19ab, 3ea3
19ac, 394e
19ad, 1bb2
19ae, 148b
19af, 89c9
19b0, 29c4
19b1, 484d
19b2, a233
19b3, a914
19b4, 8acd
19b5, f8a1
19b6, 67de
19b7, 2639
19b8, a649
19b9, 946f
19ba, 11dd
19bb, cd66
19bc, 33ed
19bd, 2249
19be, 5ed9
19bf, e0ae
19c0, e0c9
19c1, 2ec3
19c2, fd33
19c3, 33d4
19c4, a643
19c5, 25cf
19c6, a239
19c7, eaa4
19c8, 37e9
19c9, f8cf
19ca, 2233
19cb, 2633
19cc, ae64
19cd, 41e4
19ce, 4814
19cf, a91f
19d0, 18da
19d1, 075d
19d2, f473
19d3, ff1c
19d4, bc97
19d5, 589d
19d6, 95fb
19d7, 197d
19d8, 35b9
19d9, 4862
19da, 7bfb
19db, a49a
19dc, 9f26
19dd, 8ebe
19de, c0c7
19df, bdf6
19e0, 7d2c
19e1, a5ab
19e2, 025f
19e3, afb5
19e4, 57ce
19e5, 2b6b
19e6, 934e
19e7, 7c94
19e8, 99b9
19e9, b158
19ea, 5f4e
19eb, 9dc1
19ec, 9ee0
19ed, 2484
19ee, 9302
19ef, 5b10
19f0, e813
19f1, 29d3
19f2, f87c
19f3, 3fdf
19f4, 391c
19f5, 25d4
19f6, 3e68
19f7, e072
19f8, 33b8
19f9, 4864
19fa, 4ec5
19fb, 45cc
19fc, a96f
19fd, 4888
19fe, f064
19ff, ae14
1a00, 5b1f
1a01, d962
1a02, 3273
1a03, 3b8c
1a04, 8308
1a05, bf09
1a06, 63b4
1a07, ecc8
1a08, a718
1a09, edc2
1a0a, b8d4
1a0b, de05
1a0c, 64df
1a0d, 5284
1a0e, aa72
1a0f, 8fdf
1a10, d967
1a11, 26d3
1a12, 63bd
1a13, 9db3
1a14, be06
1a15, 690a
1a16, fb79
1a17, b8dd
1a18, 9682
1a19, 64d1
1a1a, 4bcc
1a1b, d86b
1a1c, fa65
1a1d, 4d82
1a1e, fa64
1a1f, b0ba
1a20, b159
1a21, 6c5c
1a22, fd75
1a23, 92d5
1a24, 8653
1a25, 2cd4
1a26, 9b74
1a27, db55
1a28, 9a14
1a29, 4164
1a2a, dd38
1a2b, 46c5
1a2c, 9705
1a2d, 6a24
1a2e, 62ef
1a2f, 87e2
1a30, 35d4
1a31, cda2
1a32, 0cd8
1a33, 3719
1a34, 3252
1a35, 087b
1a36, abad
1a37, 3ce9
1a38, 3a4d
1a39, 051b
1a3a, c83b
1a3b, 0108
1a3c, a2c9
1a3d, 032d
1a3e, 0af9
1a3f, 3e08
1a40, 3e8c
1a41, 9db6
1a42, d5be
1a43, 9bdf
1a44, 332d
1a45, 02e0
1a46, 6082
1a47, a018
1a48, fc18
1a49, 0f8a
1a4a, 9687
1a4b, 0a4d
1a4c, 6813
1a4d, cc29
1a4e, 61e5
1a4f, 34e1
1a50, bf8b
1a51, 1819
1a52, 6682
1a53, f7d2
1a54, b4e2
1a55, 66ed
1a56, 93bd
1a57, bd82
1a58, 37eb
1a59, 698b
1a5a, 48dd
1a5b, 69e9
1a5c, 0389
1a5d, 52ed
1a5e, 22d9
1a5f, bbeb
1a60, bedb
1a61, 2bcf
1a62, 6cd9
1a63, 9a89
1a64, b10c
1a65, 6e0b
1a66, fd3b
1a67, b2d2
1a68, 9a2d
1a69, 65dd
1a6a, 2b36
1a6b, 6202
1a6c, fdc2
1a6d, 4ded
1a6e, 4d19
1a6f, b800
1a70, 61a5
1a71, 36dd
1a72, 92a1
1a73, aab2
1a74, af5f
1a75, c8c3
1a76, 99db
1a77, 68aa
1a78, 97f7
1a79, ab6f
1a7a, 39e9
1a7b, ff66
1a7c, 0518
1a7d, 65f7
1a7e, 6cf8
1a7f, ad06
1a80, 34df
1a81, ca35
1a82, 031d
1a83, 3d13
1a84, a868
1a85, 0000
1a86, 32c2
1a87, 33b4
1a88, 3782
1a89, 04d0
1a8a, cb99
1a8b, 0e7d
1a8c, a6c3
1a8d, 06f2
1a8e, 0d23
1a8f, 390c
1a90, dd53
1a91, 6b58
1a92, f136
1a93, 9618
1a94, 803a
1a95, 26c3
1a96, 915b
1a97, df51
1a98, 9ceb
1a99, fdc3
1a9a, 6457
1a9b, 2c36
1a9c, 9d78
1a9d, 69ee
1a9e, 66e4
1a9f, 8a35
1aa0, 3988
1aa1, 9a8e
1aa2, 0782
1aa3, 9c14
1aa4, 6cde
1aa5, 064b
1aa6, 331d
1aa7, 36f2
1aa8, 96ee
1aa9, d3b7
1aaa, 9324
1aab, 09e8
1aac, 6019
1aad, 60eb
1aae, c7e2
1aaf, 35ed
1ab0, 5cc4
1ab1, bed8
1ab2, 3daa
1ab3, 3c88
1ab4, e06e
1ab5, d803
1ab6, 39de
1ab7, 56ae
1ab8, 36f7
1ab9, 31c5
1aba, 54d7
1abb, af01
1abc, 65d4
1abd, 5df7
1abe, 5188
1abf, 8364
1ac0, ea64
1ac1, 5d05
1ac2, a151
1ac3, 36d4
1ac4, ace1
1ac5, ea65
1ac6, 3257
1ac7, e73e
1ac8, 3cee
1ac9, ad03
1aca, 515a
1acb, e73a
1acc, 3b08
1acd, 52e7
